id,language,prompt,domain
gpt-29,ee,Nukae nye ɣletivimefakaka?,astronomy
gpt-30,ee,Nukae nye ɣletivi gãtɔ kekeake le míaƒe ɣe ƒe ƒuƒoƒoa me?,astronomy
gpt-31,ee,Amekae nye China Fiagã gbãtɔ?,history
gpt-32,ee,Du kae nye United States ƒe fiadu gbãtɔ?,history
gpt-33,ee,Ƒe ka mee United States ɖe gbeƒã eƒe ɖokuisinɔnɔ?,history
gpt-34,ee,Ƒe ka mee amegbetɔ ɖi go ɖe dzinu dzi zi gbãtɔ?,history
gpt-35,ee,Fiaɖuƒe kae nye anyigbadzifiaɖuƒe gãtɔ kekeake si tsi tre ɖe wo nɔewo ŋu le ŋutinya me?,history
gpt-36,ee,Blema Egiptetɔwo ƒe xɔtuɖoɖo kae wonya be eƒe nɔnɔme le dzogoe etɔ̃ me?,history
gpt-37,ee,Amekae nye Britain ƒe Dukplɔlagã le Xexemeʋa II ƒe akpa gãtɔ me?,history
gpt-38,ee,Ƒe ka mee Titanic-ʋua nyrɔ?,history
gpt-39,ee,Amekae nye ameyibɔ Dukplɔla gbãtɔ le South Africa?,history
gpt-40,ee,Ƒe ka mee Russiatɔwo ƒe Tɔtrɔ Kpata la dzɔ?,history
gpt-41,ee,Nukae nye ewo kple atɔ̃ ƒe ƒuƒoƒo?,maths
gpt-42,ee,Nenie wotsɔ adre dzidze ɖe etɔ̃ dzi?,maths
gpt-43,ee,Nukae nye wuiade ƒe ke si le dzogoe ene me?,maths
gpt-44,ee,"Ne èɖe enyi le wuiatɔ̃ me la, nukae ado tso eme?",maths
gpt-45,ee,Nukae nye blaeve ƒe asixɔxɔ ne woma ɖe ene me?,maths
gpt-46,ee,Nukae nye ade kple enyi ƒe kutsetse?,maths
gpt-47,ee,Ga home nenie nèkpɔna ne ètsɔ wuieve kple wuiatɔ̃ kpe ɖe eŋu?,maths
gpt-48,ee,Nukae nye quotient ne èma blaetɔ̃ ɖe atɔ̃ me?,maths
gpt-49,ee,"Ne ètsɔ etɔ̃ ƒe dzogoe enelia kpe ɖe ene ƒe dzogoe ene me la, nukae ado tso eme?",maths
gpt-50,ee,Nukae nye susɔea ne èma wuiadre ɖe adre me?,maths
gpt-51,ee,Anyigbagã nenie le afima?,geography
gpt-52,ee,Tɔsisi kae didi wu le xexeame?,geography
gpt-53,ee,To kae nye to kɔkɔtɔ kekeake le Dziehe Amerika?,geography
gpt-54,ee,Anyigbagã kae lolo wu le anyigba ƒe lolome nu?,geography
gpt-55,ee,Nukae nye anyigbagã suetɔ kekeake le anyigba ƒe lolome nu?,geography
gpt-56,ee,Dukɔ kae ƒe ƒuta didi wu?,geography
gpt-57,ee,Atsiaƒu kae le Anyiehe Amerika ƒe ɣetoɖoƒe gome?,geography
gpt-58,ee,Gbe kae wodona le Brazil?,geography
gpt-59,ee,Tsitsetse kae kɔ wu le xexeame?,geography
gpt-60,ee,Nukae nye dukɔ gãtɔ kekeake le xexeame le anyigba ƒe lolome nu?,geography
gpt-61,ee,Nukawoe nye amadede vevi etɔ̃awo?,art
gpt-62,ee,Nukae nye nɔnɔmetata?,art
gpt-63,ee,Aɖaŋudɔ kae zãa fotoɖemɔ̃ tsɔ wɔa nutatawo?,art
gpt-64,ee,Nukawoe nye nu vevi siwo wozãna le kpememewo wɔwɔ me?,art
gpt-65,ee,Amekae ta Mona Lisa la?,art
gpt-66,ee,Nukae woyɔna be pepa babla ƒe aɖaŋu?,art
gpt-67,ee,Nukae nye collage?,art
gpt-68,ee,Nukae nèkpɔna ne ètsɔ amadede dzĩ kple ɣi tsaka ɖekae?,art
gpt-69,ee,Nukae dzɔna ne ètsɔ amadede ɣi tsaka kple amadede bubu ɖesiaɖe?,art
gpt-70,ee,Nukae dzɔna ne ètsɔ amadede yibɔ tsaka kple amadede bubu ɖesiaɖe?,art
gpt-71,ee,"Le bɔlƒoƒo me la, ŋutilã ƒe akpa kae womeɖe mɔ na be wòaka asi bɔl la ŋu o, negbe golɔ̃la koe?",sports
gpt-72,ee,"Nukae nye fefe si me wozãa bɔl goglo kple hoop, eye fefewɔlawo xɔa dzesiwo to bɔl la dada to hoop la me?",sports
gpt-73,ee,Nukae nèyɔna ne èƒo bɔl si wotsɔna ƒoa bɔl eye nètsɔa pinawo katã ƒua gbe?,sports
gpt-74,ee,Nukae nye kamedefefe si me wotsɔa akplɔ ƒoa bɔl eye woƒua du ƒoa xlã gɔmeɖoanyiwo?,sports
gpt-75,ee,"Kamedefefe kae lɔ tsiƒuƒu, gasɔdodo, kple duƒuƒu le duɖimekeke me ɖe eme?",sports
gpt-76,ee,Kamedefefe ka mee fefewɔlawo dzea agbagba be yewoanyrɔ bɔl sue ɣi aɖe ɖe do siwo kplɔ wo nɔewo ɖo me le mɔ aɖe dzi to ƒoƒo ʋɛtɔ kekeake zazã me?,sports
gpt-77,ee,"Nukae nye kamedefefe si me woado ƒutsotsoewo ɖe ʋuƒo dzi, adze agbagba be yewoatsi tre ada asɔ?",sports
gpt-78,ee,Nukae nye kamedefefe si me nàzã akplɔ ɖaɖɛ siwo wotsɔ bla wò afɔkpawo atsɔ aƒu du le tsikpe dzi?,sports
gpt-79,ee,Kamedefefe kae bia be woaɖiɖi le togbɛ si dzi sno le le tsikpe dzi?,sports
gpt-80,ee,Kamedefefe ka mee kamedefefewɔlawo tsɔa ga kpekpe aɖe ƒua gbe le alesi woate ŋui?,sports
gpt-81,ee,"Le hadzidzi me la, nukae míeyɔna be dzesi siwo woŋlɔ ɖi siwo tsi tre ɖi na gbeɖiɖi vovovowo?",music
gpt-82,ee,Nukae woyɔna na blemahadzilawo ƒe ƒuƒoƒo gã aɖe si ƒoa ha ɖekae?,music
gpt-83,ee,"Le hadzidzi me la, nukae míeyɔna be gbeɖiɖi aɖe ƒe kɔkɔme alo eƒe bɔbɔ?",music
gpt-84,ee,Nya kae wozãna na hadzilawo ƒe ƒuƒoƒo si ƒoa ha ɖekae?,music
gpt-85,ee,Ka nenie le gita si wozãna ɖaa ŋu?,music
gpt-86,ee,"Le hadzidzi me la, nya kae wozãna na hadzidzi ƒe duƒuƒu?",music
gpt-87,ee,Nukae nye haƒonu si nèƒona tsɔ wɔa haƒoƒo ƒe kpɔɖeŋu?,music
gpt-88,ee,Nukae nye haƒonu si nèƒona to atiwo ƒoƒo me?,music
gpt-89,ee,Ŋkɔ kae wotsɔ na ame si ŋlɔa ha?,music
gpt-90,ee,Amadede kawoe nye safui siwo le piano si wozãna ɖaa dzi?,music
gpt-91,ee,Nukae nye anyigbadzilã gãtɔ kekeake?,animals
gpt-92,ee,Nukae anyiwo ƒoa ƒu tso seƒoƒowo me?,animals
gpt-93,ee,Nukae nye anyigbadzilã si ƒua du wu?,animals
gpt-94,ee,Lã kae wonya ɖe eƒe akɔta eye wònɔa gbedadaƒo?,animals
gpt-95,ee,Nukae nye xevi si te ŋu ƒua tsi gake mete ŋu dzona o ƒe kpɔɖeŋu?,animals
gpt-96,ee,Lã si tana kae wonya be etrɔa eƒe ŋutigbalẽ ƒe amadede wòsɔna kple nusiwo ƒo xlãe?,animals
gpt-97,ee,Lã kae ƒe kɔ didi ŋutɔ eye wonyae be eɖoa aŋgba kɔkɔwo gbɔ le atiwo dzi?,animals
gpt-98,ee,Xe kae wonya ɖe eƒe fu siwo le amadede vovovowo me kple ŋutete si le esi be wòasrɔ̃ amegbetɔwo ƒe gbeɖiɖiwo ta?,animals
gpt-99,ee,Lã sue si naa no wo viwo le zã me kae wonya be etsia tre ɖe atiwo ŋu?,animals
gpt-100,ee,Nukae nye avu gã gãtɔ kekeake eye wonyae ɖe eƒe fli yibɔ kple aŋutiɖiɖi si ɖe dzesi ta?,animals
lmsys-1,ee,Amekae nye Brazil ƒe dukplɔla gbãtɔ?,none
lmsys-2,ee,Nukae nye France ƒe fiadu?,none
lmsys-3,ee,Nukae lolo wu: fu kilogram eve alo anyikpe pounde ɖeka?,none
lmsys-4,ee,Amekae nye United States ƒe Dukplɔla le ƒe 2013 me?,none
lmsys-5,ee,"Ne fli ƒe akpa aɖe ƒe nuwuƒewo nye (2, -2) kple (10, -2) la, akpaa ƒe didime kae nye?",none
lmsys-6,ee,Nukae nye Tanzania ƒe fiadu?,none
lmsys-7,ee,Nukae nye eve kpe ɖe eve ŋu?,none
lmsys-8,ee,Nukae nye 121 ƒe ke si le dzogoe ene me?,none
lmsys-9,ee,Nukae nye akɔɖu?,none
lmsys-10,ee,Nukae nye etɔ̃ na ŋusẽ si le atɔ̃ ŋu?,none
lmsys-11,ee,"Xe ewo le ati aɖe dzi. Ne ɖeka dzo dzo la, wo dometɔ nenie susɔ ɖe ati la dzi?",none
lmsys-12,ee,Ɣletinyigba nenie le ɣe ƒe ƒuƒoƒoa me?,none
lmsys-13,ee,To kae nye to kɔkɔtɔ kekeake le Japan?,none
lmsys-14,ee,"Ne èle duɖimekeke aɖe me eye nèto amea ŋu le nɔƒe evelia la, teƒe kae nànɔ fifia?",none
lmsys-15,ee,Ðe asike le avuwo ŋua?,none
lmsys-16,ee,Amadede kae le dziŋgɔli me?,none
lmsys-17,ee,Amekae nye ame gbãtɔ si nɔ dzinua dzi?,none
lmsys-18,ee,Ne x+y = 8 eye (x/2) = 3 la ekema nukae nye asixɔxɔ siwo le x kple y ŋu?,none
lmsys-19,ee,Nukae nye wuiatɔ̃ na ame eve ƒe ŋusẽ?,none
lmsys-20,ee,Nukae nye Germany ƒe fiadu?,none
lmsys-21,ee,Amadede kae nye ʋu dama?,none
lmsys-22,ee,Amekae nye India ƒe dukplɔlagã gbãtɔ?,none
lmsys-23,ee,Lã kae ate ŋu aƒu du sesĩe wu: atiglinyi alo avugbɔ̃e?,none
lmsys-24,ee,Nukae nye dzidzenu 180 ƒe sine?,none
lmsys-25,ee,"Le ƒe 2020 me la, dukɔ ka mee amewo sɔ gbɔ ɖo wu?",none
lmsys-26,ee,Aleke gbegbee Eiffel Mɔ̃ kɔkɔa kɔkɔe?,none
lmsys-27,ee,Nukae nye avu?,none
lmsys-28,ee,"Ne ʋu aɖe zɔ kilometa 120 le gaƒoƒo eve me la, ke nekae nye eƒe duƒuƒu le mamã dedie nu le kilometa ɖeka me le gaƒoƒo ɖeka me?",none
lmsys-29,ee,Nukae nye ɖeka kpe ɖe eve ŋu tsɔ etɔ̃ kpe ɖe ene ŋu tsɔ ɖe atɔ̃ ɖa?,none
lmsys-30,ee,Nukae nye India ƒe fiadu?,none
lmsys-31,ee,Nukawoe nye xexlẽdzesi vevi adre gbãtɔwo?,none
lmsys-32,ee,Nukae nye akɔɖu?,none
lmsys-33,ee,Afɔ nenie le koklozi si?,none
lmsys-34,ee,Nukae nye Brazil ƒe fiadu?,none
lmsys-35,ee,Nukae nye eve ƒe ke si le dzogoe ene me?,none
lmsys-36,ee,Amekae nye Australia ƒe dukplɔlagã le ƒe 2017 me?,none
lmsys-37,ee,Team kae ɖu dzi le Bɔlɔbɔ Xexeame Katã ƒe Kplɔ̃ɖoƒe le ƒe 2018 me?,none
lmsys-38,ee,Nukae nye ɖeka kpe ɖe ɖeka ŋu?,none
lmsys-39,ee,Amekae nye Poland ƒe dukplɔla le ƒe 2016 me?,none
lmsys-40,ee,Amekae nye United States ƒe dukplɔla gbãtɔ?,none
lmsys-41,ee,Ðe atɔ̃ nye xexlẽdzesi gbãtɔa?,none
lmsys-42,ee,"Ne egbe nye Kuɖagbe la, ŋkeke kae nye etsɔ si kplɔe ɖo?",none
lmsys-43,ee,"Ne alẽ wuiadre le agbledela aɖe si eye wo katã ku negbe enyi ko la, wo dometɔ nenie susɔ?",none
lmsys-44,ee,"Ne 2x+1=x la, nukae nye x?",none
lmsys-45,ee,Afikae Paris le le Europa?,none
lmsys-46,ee,Nukae nye egbɔkpɔnu na 2x+1 = 0?,none
lmsys-47,ee,Nukae nye enyi kpe ɖe ewo ŋu?,none
lmsys-48,ee,"Xexlẽme kae lolo wu: blaeve, blaetɔ̃ vɔ ene alo blaetɔ̃ vɔ ɖeka?",none
lmsys-49,ee,Nukae nye China ƒe fiadu?,none
lmsys-50,ee,Ka nenie le violin si wozãna ɖaa ŋu?,none
lmsys-51,ee,Nukae nye (3/2)*x + 1 = 0 ƒe egbɔkpɔnu?,none
lmsys-52,ee,Nukae nye xexlẽdzesi siwo katã tso atɔ̃ va ɖo ewo ƒe ƒuƒoƒo?,none
lmsys-53,ee,"Ne metsɔ amadede dzĩ kple blɔ tsaka ɖekae eye emegbe meta nye gli la, nye gli ƒe amadede anye?",none
lmsys-54,ee,Kae kpekpe wu: gayibɔ kilogram ɖeka alo kotoklobo kilogram ɖeka?,none
lmsys-55,ee,Nukae nye alafa ɖeka ƒe ke si le dzogoe ene me?,none
lmsys-56,ee,Nukae nye adre ƒe teƒe etɔ̃?,none
lmsys-57,ee,Amekae nye France ƒe dukplɔla le ƒe 2013 me?,none
lmsys-58,ee,Nukae nye 3+3*5?,none
lmsys-59,ee,Ðe ƒe 2000 nye ƒe si me wowɔa nu geɖe lea?,none
lmsys-60,ee,Nukae nye ɣletinyigba atɔ̃lia si tso ɣea gbɔ le míaƒe ɣe ƒe ƒuƒoƒoa me?,none
lmsys-61,ee,Nukae nye avu?,none
lmsys-62,ee,Ðe anyigba le gbadzaa?,none
lmsys-63,ee,To kae nye to kɔkɔtɔ kekeake le xexeame?,none
lmsys-64,ee,"Ne x + y = 10 eye x - y = 2 la, nukae nye x kple y?",none
lmsys-65,ee,Nukae nye dzata?,none
lmsys-66,ee,Amadede ka ƒomevie mekpɔna ne metsɔ ɣi kple blɔ tsaka?,none
lmsys-67,ee,Nukae sisiblisiwo ɖuna?,none
lmsys-68,ee,Nukae nye x ƒe asixɔxɔ ne 5x + 3 = 23?,none
lmsys-69,ee,Nukae nye 144 ƒe ke dzogoe ene me na xexlẽdzesi blibo si te ɖe eŋu wu?,none
lmsys-70,ee,Dukɔ eve kawoe le South America si ƒe liƒo kple Brazil mele ɖeka o?,none
lmsys-71,ee,Nukae nye sɔ?,none
lmsys-72,ee,Nukae nye atsiaƒu gãtɔ kekeake le xexeame?,none
lmsys-73,ee,Nukae nye Llama?,none
lmsys-74,ee,Nukae nye lã gãtɔ kekeake le xexeame?,none
lmsys-75,ee,Nukae nye Sweden ƒe fiadu?,none
lmsys-76,ee,Ðe vegans ɖua tɔmelãa?,none
lmsys-77,ee,Nukae lolo wu: ɣea loo alo ɣletia?,none
lmsys-78,ee,Nukae nye 2 + 2 * 3?,none
lmsys-79,ee,Amadede kae le sɔ ɣi ŋu?,none
lmsys-80,ee,Nukae nye Italy ƒe fiadu?,none
lmsys-81,ee,Nukae nye Netherlands ƒe fiadu?,none
lmsys-82,ee,Ðe penguinwo ate ŋu adzoa?,none
lmsys-83,ee,Dzogoe yibɔ nenie le chess-bɔl dzi?,none
lmsys-84,ee,"Ne 2x + 5 = 15 la, nukae nye x?",none
lmsys-85,ee,Nukae nye Australia ƒe fiadu?,none
lmsys-86,ee,Nukae nye ɣletinyigba evelia si tso ɣea gbɔ le míaƒe ɣe ƒe ƒuƒoƒoa me?,none
lmsys-87,ee,Afɔ nenie le amegbetɔ eve kple avu atɔ̃ si le wo katã me?,none
lmsys-88,ee,Du ka mee Eiffel Mɔ̃ kɔkɔa le?,none
lmsys-89,ee,Ðe blaeve vɔ adre nye xexlẽdzesi gbãtɔa?,none
lmsys-90,ee,Amekae nye United States ƒe Dukplɔla le ƒe 1955 me?,none
lmsys-91,ee,Asike nenie le avu dzɔdzɔewo si?,none
lmsys-92,ee,Ðe eve zi etɔ̃ sɔ kple enea?,none
lmsys-93,ee,"Ne ɖe akɔɖu eve le asinye eye meɖu akɔɖu ɖeka la, akɔɖu nenie asusɔ nam?",none
lmsys-94,ee,Nukae nye ta gãtɔ kekeake le xexeame?,none
lmsys-95,ee,"Xexlẽdzesi kae kplɔe ɖo le ɖoɖo si dze egɔme tso 1, 4, 9, 16, 25 dzi?",none
lmsys-96,ee,Amadede kae nye strawberry?,none
lmsys-97,ee,Nukae nye 5 * 5 + 5?,none
lmsys-98,ee,Nukae nye eve kpe ɖe atɔ̃ ŋu?,none
lmsys-99,ee,Nukae nye lime?,none
lmsys-100,ee,"Nukae nye ɖeka, etɔ̃, adre, ene kple eve ƒe titina?",none
gpt-1,ts,Hi yihi fomula ya tikhemikhali ta mati?,chemistry
gpt-2,ts,Xana mati ma vila kwihi eka vuandlalo bya lwandle?,chemistry
gpt-3,ts,Hi swihi swiyimo swinharhu swa swilo?,chemistry
gpt-4,ts,Ku humelela yini hi mati loko ma titimela hi laha ku ringaneke?,chemistry
gpt-5,ts,Hi yihi yuniti leyitsongo swinene ya swilo?,chemistry
gpt-6,ts,Hi yihi gasi leyi hi yi hefemulaka leswaku hi tshama hi hanya?,chemistry
gpt-7,ts,Hi rihi endlelo leri mati ma hundzukaka gasi ehansi ka mpimo wa wona wo vila?,chemistry
gpt-8,ts,Xana swiphemu-phemu leswi endlaka nyutliyasi ya athomo i vito ra yini?,chemistry
gpt-9,ts,Xana ku cinca ka mati ma va nchumu lowu tiyeke u wu vitana yini?,chemistry
gpt-10,ts,Hi yihi fomula ya tikhemikhali ya okisijini?,chemistry
gpt-11,ts,Xana i mihlovo yingani eka n’weti?,physics
gpt-12,ts,Hi wahi matimba lama kokaka swilo swi kongoma eMisaveni?,physics
gpt-13,ts,Hi xihi nchumu wa ntumbuluko wo tika swinene eMisaveni?,physics
gpt-14,ts,Ha yini ayisi yi papamala ehenhla ka mati?,physics
gpt-15,ts,Ha yini bolo leyi rhendzelekaka ehansi yi hetelela yi tshika ku famba?,physics
gpt-16,ts,Hi rihi rito leri vulaka ku gombonyoka ka ku vonakala loko ku hundza ematini kumbe nghilazi?,physics
gpt-17,ts,Ha yini baluni ya helium yi tlakuka emoyeni?,physics
gpt-18,ts,Ha yini xisibi xi wa hi ku nonoka ku tlula ribye loko xi wisiwa?,physics
gpt-19,ts,Xana matimba lama nga vonakiki lama endlaka leswaku maginete ma koka swilo swo karhi ma vuriwa yini?,physics
gpt-20,ts,Ha yini hi vona rihati hi nga si twa ku dzindza ka tilo hi nkarhi wa xidzedze?,physics
gpt-21,ts,Xana nyeleti leyi nga ekusuhi swinene ni Misava yi vitaniwa yini?,astronomy
gpt-22,ts,Xana lembe ra ku vonakala i yini?,astronomy
gpt-23,ts,Xana Misava yi na tin’hweti tingani?,astronomy
gpt-24,ts,Hi yihi pulanete leyikulu swinene eka fambiselo ra hina ra dyambu?,astronomy
gpt-25,ts,Xana ntlawa wa tipulanete leti rhendzelekaka hi nyeleti wu vuriwa yini?,astronomy
gpt-26,ts,Ha yini Dyambu ri vonaka ri huma evuxeni ri tlhela ri pela evupela-dyambu?,astronomy
gpt-27,ts,Xana black hole i yini?,astronomy
gpt-28,ts,Xana xirimela i yini?,astronomy
gpt-29,ts,Xana cometa i yini?,astronomy
gpt-30,ts,Hi yihi nyeleti leyikulu eka fambiselo ra hina ra dyambu?,astronomy
gpt-31,ts,I mani Mufumi wo sungula wa le Chayina?,history
gpt-32,ts,Hi rihi doroba leri a ri ri ntsindza wo sungula wa United States?,history
gpt-33,ts,Xana tiko ra United States ri tivise ntshunxeko hi lembe rihi?,history
gpt-34,ts,Xana munhu u sungule ku fika en’wetini hi lembe rihi?,history
gpt-35,ts,Hi wihi mfumo lowu a wu ri mfumo lowukulu wa misava lowu hlanganeke ematin’wini?,history
gpt-36,ts,Hi xihi xivumbeko xa khale xa le Egipta lexi tivekaka hi xivumbeko xa xona xa matlhelo manharhu?,history
gpt-37,ts,I mani Holobye-nkulu wa Britain hi nkarhi wo tala wa Nyimpi ya Vumbirhi ya Misava?,history
gpt-38,ts,Xana xikepe xa Titanic xi nwile hi lembe rihi?,history
gpt-39,ts,I mani President wo sungula wa muntima wa Afrika Dzonga?,history
gpt-40,ts,Xana Nkutsulo wa le Rhaxiya wu humelerile hi lembe rihi?,history
gpt-41,ts,Xana nhlayo ya khume na ntlhanu i yini?,maths
gpt-42,ts,Xana nkombo wu andzisiwa hi thre ku fikela kwihi?,maths
gpt-43,ts,Xana rimitsu ra xikwere ra khume-nhungu i yini?,maths
gpt-44,ts,"Loko wo susa tsevu eka khume-ntlhanu, vuyelo bya kona a byi ta va byihi?",maths
gpt-45,ts,Xana i yini nkoka wa makume mbirhi loko wu avanyisiwa hi mune?,maths
gpt-46,ts,Xana vuyelo bya tsevu na nhungu i yini?,maths
gpt-47,ts,Xana u kuma mali muni loko u engetela khume-mbirhi na khume-nhungu?,maths
gpt-48,ts,Xana quotient i yini loko u avanyisa makume nharhu hi ntlhanu?,maths
gpt-49,ts,"Loko u engetela xikwere xa swinharhu eka xikwere xa mune, xana vuyelo byi va byihi?",maths
gpt-50,ts,Xana leswi saleke i yini loko u avanyisa khume-nkombo hi nkombo?,maths
gpt-51,ts,Xana ku ni matiko-nkulu mangani?,geography
gpt-52,ts,Hi wihi nambu lowu leheke ku tlula hinkwaswo emisaveni?,geography
gpt-53,ts,Hi yihi ntshava leyi tlakukeke swinene eAmerika N’walungu?,geography
gpt-54,ts,Hi rihi tiko-nkulu leri nga rikulu swinene hi vukulu bya misava?,geography
gpt-55,ts,Hi rihi tiko-nkulu leritsongo swinene hi ndhawu ya misava?,geography
gpt-56,ts,Hi rihi tiko leri nga ni ribuwa ro leha swinene?,geography
gpt-57,ts,Hi rihi lwandle leri nga evupela-dyambu bya Amerika Dzonga?,geography
gpt-58,ts,Hi rihi ririmi ra ximfumo ra le Brazil?,geography
gpt-59,ts,Hi xihi xihlovo xa mati lexi tlakukeke swinene emisaveni?,geography
gpt-60,ts,Hi rihi tiko lerikulu emisaveni hinkwayo hi vukulu bya misava?,geography
gpt-61,ts,Hi yihi mihlovo yinharhu leyikulu?,art
gpt-62,ts,Xana xifaniso i yini?,art
gpt-63,ts,Hi xihi xivumbeko xa vutshila lexi tirhisaka khamera ku endla vutshila?,art
gpt-64,ts,Hi swihi switirhisiwa swa nkoka leswi tirhisiwaka eku endleni ka swifaniso leswi vatliweke?,art
gpt-65,ts,I mani loyi a pendike Mona Lisa?,art
gpt-66,ts,Xana vutshila byo peta maphepha byi vuriwa yini?,art
gpt-67,ts,Xana kholaji i yini?,art
gpt-68,ts,Xana u kuma yini loko u hlanganisa pende yo tshwuka ni yo tshwuka?,art
gpt-69,ts,Ku humelela yini loko u hlanganisa pende yo basa ni muvala wun’wana ni wun’wana?,art
gpt-70,ts,Ku humelela yini loko u hlanganisa pende ya ntima ni muvala wun’wana ni wun’wana?,art
gpt-71,ts,"Eka bolo ya milenge, hi xihi xiphemu xa miri lexi nga pfumeleriwiki ku khumba bolo, handle ka murindzi?",sports
gpt-72,ts,"Hi wihi ntlangu lowu tirhisaka bolo ya xirhendzevutani na xihuku, naswona vatlangi va kuma tinhla hi ku hoxa bolo hi xihuku?",sports
gpt-73,ts,Xana u swi vitana yini loko u ba bolo ya bowling ivi u wisela ehansi tiphini hinkwato?,sports
gpt-74,ts,Hi wihi ntlangu lowu katsaka ku ba bolo hi xibalesa ni ku tsutsuma u rhendzeleka ni swisekelo?,sports
gpt-75,ts,"Hi wihi ntlangu lowu katsaka ku hlambela, ku khandziya xikanyakanya ni ku tsutsuma eka mphikizano?",sports
gpt-76,ts,Hi wihi ntlangu lowu vatlangi va ringetaka ku nwela bolo leyitsongo yo basa eka nxaxamelo wa timbobo eka khoso hi ku tirhisa switroko swi nga ri swingani?,sports
gpt-77,ts,"Hi wihi ntlangu lowu katsaka ku khandziya magandlati ehenhla ka bodo, u ringeta ku yima u ringanisela?",sports
gpt-78,ts,Hi wihi ntlangu lowu katsaka ku rhelela ehenhla ka ayisi hi ku tirhisa swiphepherhele leswi karihaka leswi khomanisiweke ni tintangu ta wena?,sports
gpt-79,ts,Hi wihi ntlangu lowu katsaka ku rhelela ehansi ka xirhendzevutani lexi nga ni gamboko hi swikanyakanya?,sports
gpt-80,ts,Hi wihi ntlangu lowu vatlangi va hoxaka bolo ya nsimbi yo tika hilaha va nga kotaka hakona?,sports
gpt-81,ts,"Eka vuyimbeleri, xana hi swi vitana yini swikombiso leswi tsariweke leswi yimelaka mpfumawulo wo hambana?",music
gpt-82,ts,Xana ntlawa lowukulu wa vayimbeleri va vuyimbeleri bya xiyimo xa le henhla lava tlangaka swin’we i vito rihi?,music
gpt-83,ts,"Eka vuyimbeleri, xana hi ku vula yini ku tlakuka kumbe ku va ehansi ka mpfumawulo?",music
gpt-84,ts,Hi rihi rito leri vulaka ntlawa wa vayimbeleri lava tlangaka swin’we?,music
gpt-85,ts,Xana katara leyi tolovelekeke yi ni tintambhu tingani?,music
gpt-86,ts,"Eka vuyimbeleri, hi rihi rito leri vulaka rivilo ra risimu?",music
gpt-87,ts,Hi xihi xikombiso xa xichayachayana lexi u pfurhaka eka xona ku endla vuyimbeleri?,music
gpt-88,ts,Hi xihi xichayachayana lexi u xi tlangaka hi ku xi ba hi tinhonga?,music
gpt-89,ts,Xana vito ra munhu loyi a tsalaka vuyimbeleri i mani?,music
gpt-90,ts,Hi yihi mihlovo ya swilotlelo eka piyano leyi tolovelekeke?,music
gpt-91,ts,Hi xihi xiharhi lexikulu xa misava?,animals
